2018-08-30 17:12:21: -- Analysis Started by On File Change, After Delay
2018-08-30 17:12:21: Changes: 26, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 7590
2018-08-30 17:12:21: Left to Right: Copy File: 26 
2018-08-30 17:12:21: == Sync Started by On File Change, After Delay
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/.vs/AMSDCMDataTranslator/v15/.suo' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/.vs/AMSDCMDataTranslator/v15/.suo' (186,368)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/bin/Debug/AMSDCMDataTranslator.exe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/bin/Debug/AMSDCMDataTranslator.exe' (76,800)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/bin/Debug/AMSDCMDataTranslator.pdb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/bin/Debug/AMSDCMDataTranslator.pdb' (243,200)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.csproj.CopyComplete' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.csproj.CopyComplete' (0)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.csproj.CoreCompileInputs.cache' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.csproj.CoreCompileInputs.cache' (42)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.csproj.FileListAbsolute.txt' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.csproj.FileListAbsolute.txt' (2,134)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.exe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.exe' (76,800)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.pdb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSDCMDataTranslator/obj/Debug/AMSDCMDataTranslator.pdb' (243,200)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSDCMDataTranslator.exe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSDCMDataTranslator.exe' (76,800)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSDCMDataTranslator.exe.config' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSDCMDataTranslator.exe.config' (9,050)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSDCMDataTranslator.pdb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSDCMDataTranslator.pdb' (243,200)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSTranslatorService.exe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSTranslatorService.exe' (9,216)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSTranslatorService.exe.config' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSTranslatorService.exe.config' (191)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSTranslatorService.pdb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/AMSTranslatorService.pdb' (26,112)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/log4net.dll' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/log4net.dll' (276,480)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/log4net.xml' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/log4net.xml' (1,547,797)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/Renci.SshNet.dll' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/Renci.SshNet.dll' (466,432)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/Tools/InstallUtil.exe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/bin/Debug/Tools/InstallUtil.exe' (41,056)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.CopyComplete' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.CopyComplete' (0)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.CoreCompileInputs.cache' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.CoreCompileInputs.cache' (42)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.FileListAbsolute.txt' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.FileListAbsolute.txt' (3,534)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.GenerateResource.cache' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csproj.GenerateResource.cache' (950)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csprojAssemblyReference.cache' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.csprojAssemblyReference.cache' (17,943)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.exe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.exe' (9,216)
2018-08-30 17:12:21: Copy New 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.pdb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.pdb' (26,112)
2018-08-30 17:12:21: Copy Over 'D:/repository/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.ProjectInstaller.resources' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/AMSDCMDataTranslator/AMSTranslatorService/obj/Debug/AMSTranslatorService.ProjectInstaller.resources' (180)
2018-08-30 17:12:22: == Sync Complete. Time: 00:00:01, Speed: 0 字节/s, OK: 26, Errors: 0
2018-08-30 17:12:22: 
